vehicle_id,route,direction_id,recorded_at,server_timestamp,lat,lng,bearing,speed,headsign,stop_name,is_accessible
"01 XUY",13,1,2026-05-12T19:21:23+0000,1778613668000,45.7638702392578,21.207670211792,111.059463500977,0.0,"Piața 700 (Spitalul Militar)","Bulevardul Cetății (Gheorghe Lazăr)",1
"01 XUY",13,1,2026-05-12T19:23:08+0000,1778613777000,45.7617797851563,21.2140102386475,119.472885131836,10.0,"Piața 700 (Spitalul Militar)","Timiș",1
"01 XUY",13,1,2026-05-12T19:23:27+0000,1778613788000,45.7616195678711,21.214750289917,119.472885131836,41.0,"Piața 700 (Spitalul Militar)","Timiș",1
"01 XUY",13,1,2026-05-12T19:23:44+0000,1778613810000,45.7605018615723,21.2173309326172,119.472885131836,30.0,"Piața 700 (Spitalul Militar)","Bd. Circumvalațiunii (Gheorghe Lazăr)",1
"01 XUY",13,1,2026-05-12T19:24:00+0000,1778613822000,45.7600708007813,21.2183094024658,119.472885131836,20.0,"Piața 700 (Spitalul Militar)","Bd. Circumvalațiunii (Gheorghe Lazăr)",1
"01 XUY",13,1,2026-05-12T19:24:11+0000,1778613837000,45.7595710754395,21.2194194793701,118.387817382813,7.0,"Piața 700 (Spitalul Militar)","Bd. Circumvalațiunii (Gheorghe Lazăr)",1
"01 XUY",13,1,2026-05-12T19:24:28+0000,1778613853000,45.7595100402832,21.219690322876,118.387817382813,21.0,"Piața 700 (Spitalul Militar)","Bd. Circumvalațiunii (Gheorghe Lazăr)",1
"01 XUY",13,1,2026-05-12T19:24:44+0000,1778613867000,45.7590217590332,21.2210807800293,118.387817382813,37.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (A. Müller Guttenbrunn)",1
"01 XUY",13,1,2026-05-12T19:25:01+0000,1778613884000,45.7585906982422,21.2222690582275,113.921157836914,0.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (A. Müller Guttenbrunn)",1
"01 XUY",13,1,2026-05-12T19:25:13+0000,1778613897000,45.7585105895996,21.2225894927978,113.921157836914,26.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (A. Müller Guttenbrunn)",1
"01 XUY",13,1,2026-05-12T19:25:30+0000,1778613907000,45.7582015991211,21.2235507965088,113.921157836914,22.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (A. Müller Guttenbrunn)",1
"01 XUY",13,1,2026-05-12T19:25:46+0000,1778613927000,45.7579307556152,21.2243900299072,120.894798278809,7.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (A. Müller Guttenbrunn)",1
"01 XUY",13,1,2026-05-12T19:25:58+0000,1778613938000,45.7578010559082,21.2247695922852,120.894798278809,10.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (A. Müller Guttenbrunn)",1
"01 XUY",13,1,2026-05-12T19:26:15+0000,1778613963000,45.7572593688965,21.2237892150879,277.759216308594,16.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (Paris)",1
"01 XUY",13,1,2026-05-12T19:26:31+0000,1778613972000,45.7571601867676,21.2234992980957,225.094375610352,9.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (Paris)",1
"01 XUY",13,1,2026-05-12T19:26:48+0000,1778613992000,45.7565994262695,21.2232494354248,194.904220581055,7.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (Paris)",1
"01 XUY",13,1,2026-05-12T19:27:00+0000,1778614006000,45.7564888000488,21.2232093811035,185.435958862305,0.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (Paris)",1
"01 XUY",13,1,2026-05-12T19:27:11+0000,1778614024000,45.7564888000488,21.2232093811035,185.435958862305,0.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (Paris)",1
"01 XUY",13,1,2026-05-12T19:27:33+0000,1778614038000,45.7564888000488,21.2232093811035,185.435958862305,0.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (Paris)",1
"01 XUY",13,1,2026-05-12T19:27:44+0000,1778614052000,45.7563209533691,21.2231597900391,185.435958862305,9.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (Paris)",1
"01 XUY",13,1,2026-05-12T19:28:06+0000,1778614066000,45.7555999755859,21.2231693267822,176.663696289063,29.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (Spitalul Militar)",1
"01 XUY",13,1,2026-05-12T19:28:17+0000,1778614084000,45.7542686462402,21.2234992980957,167.137588500977,26.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (Spitalul Militar)",1
"01 XUY",13,1,2026-05-12T19:28:29+0000,1778614098000,45.7535705566406,21.2238006591797,72.6207427978516,7.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (Spitalul Militar)",1
"01 XUY",13,1,2026-05-12T19:28:45+0000,1778614113000,45.7536811828613,21.2243194580078,72.6207427978516,22.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (Spitalul Militar)",1
"01 XUY",13,1,2026-05-12T19:29:02+0000,1778614127000,45.7540092468262,21.2251396179199,57.5305061340332,10.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (Spitalul Militar)",1
"01 XUY",13,1,2026-05-12T19:29:19+0000,1778614143000,45.7545394897461,21.2250709533691,355.412017822266,17.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (Spitalul Militar)",1
"01 XUY",13,1,2026-05-12T19:29:30+0000,1778614159000,45.7552795410156,21.2249393463135,355.412017822266,17.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (Spitalul Militar)",1
"01 XUY",13,1,2026-05-12T19:29:47+0000,1778614173000,45.7557792663574,21.2248401641846,355.412017822266,12.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (Spitalul Militar)",1
"01 XUY",13,1,2026-05-12T19:30:04+0000,1778614193000,45.7564315795898,21.2248306274414,355.412017822266,17.0,"Piața 700 (Spitalul Militar)","Piața Timișoara 700 (Spitalul Militar)",1
"01 XUY",13,0,2026-05-12T19:30:21+0000,1778614210000,45.7567710876465,21.2248096466064,357.0,0.0,"Pasaj C.F. Mehala","Piața Timișoara 700 (Spitalul Militar)",1
"01 XUY",13,0,2026-05-12T19:30:37+0000,1778614222000,45.7567710876465,21.2248096466064,357.0,0.0,"Pasaj C.F. Mehala","Piața Timișoara 700 (Spitalul Militar)",1
"01 XUY",13,0,2026-05-12T19:30:54+0000,1778614238000,45.7567710876465,21.2248096466064,357.0,0.0,"Pasaj C.F. Mehala","Piața Timișoara 700 (Spitalul Militar)",1
"01 XUY",13,0,2026-05-12T19:31:05+0000,1778614252000,45.7567710876465,21.2248096466064,357.0,0.0,"Pasaj C.F. Mehala","Piața Timișoara 700 (Spitalul Militar)",1
"01 XUY",13,0,2026-05-12T19:31:21+0000,1778614266000,45.7567710876465,21.2248096466064,357.0,0.0,"Pasaj C.F. Mehala","Piața Timișoara 700 (Spitalul Militar)",1
"01 XUY",13,0,2026-05-12T19:31:38+0000,1778614280000,45.7567710876465,21.2248096466064,357.0,0.0,"Pasaj C.F. Mehala","Piața Timișoara 700 (Spitalul Militar)",1
"01 XUY",13,0,2026-05-12T19:31:54+0000,1778614298000,45.7567710876465,21.2248096466064,358.387451171875,0.0,"Pasaj C.F. Mehala","Piața Timișoara 700 (Spitalul Militar)",1
