slot,pointId,lat,lng,currentSpeedKph,freeFlowSpeedKph,speedRatio,delaySeconds,regime
afternoon-rush,p-5-1,45.76667,21.19579,40,40,1,0,free
evening,p-5-1,45.76667,21.19579,40,40,1,0,free
night,p-5-1,45.76667,21.19579,40,40,1,0,free
morning-rush,p-5-1,45.76667,21.19585,40,40,1,0,free
mid-morning,p-5-1,45.76667,21.19585,40,40,1,0,free
midday,p-5-1,45.76667,21.19585,40,40,1,0,free
afternoon-rush,p-5-1,45.76667,21.19585,40,40,1,0,free
evening,p-5-1,45.76667,21.19585,40,40,1,0,free
night,p-5-1,45.76667,21.19585,40,40,1,0,free
morning-rush,p-5-1,45.76668,21.19593,40,40,1,0,free
mid-morning,p-5-1,45.76668,21.19593,40,40,1,0,free
midday,p-5-1,45.76668,21.19593,40,40,1,0,free
afternoon-rush,p-5-1,45.76668,21.19593,40,40,1,0,free
evening,p-5-1,45.76668,21.19593,40,40,1,0,free
night,p-5-1,45.76668,21.19593,40,40,1,0,free
morning-rush,p-5-1,45.76669,21.19598,40,40,1,0,free
mid-morning,p-5-1,45.76669,21.19598,40,40,1,0,free
midday,p-5-1,45.76669,21.19598,40,40,1,0,free
afternoon-rush,p-5-1,45.76669,21.19598,40,40,1,0,free
evening,p-5-1,45.76669,21.19598,40,40,1,0,free
night,p-5-1,45.76669,21.19598,40,40,1,0,free
morning-rush,p-5-1,45.7666,21.19641,40,40,1,0,free
mid-morning,p-5-1,45.7666,21.19641,40,40,1,0,free
midday,p-5-1,45.7666,21.19641,40,40,1,0,free
afternoon-rush,p-5-1,45.7666,21.19641,40,40,1,0,free
evening,p-5-1,45.7666,21.19641,40,40,1,0,free
night,p-5-1,45.7666,21.19641,40,40,1,0,free
morning-rush,p-5-1,45.76629,21.19799,40,40,1,0,free
mid-morning,p-5-1,45.76629,21.19799,40,40,1,0,free
midday,p-5-1,45.76629,21.19799,40,40,1,0,free
afternoon-rush,p-5-1,45.76629,21.19799,40,40,1,0,free
evening,p-5-1,45.76629,21.19799,40,40,1,0,free
night,p-5-1,45.76629,21.19799,40,40,1,0,free
morning-rush,p-5-1,45.76627,21.1981,40,40,1,0,free
mid-morning,p-5-1,45.76627,21.1981,40,40,1,0,free
midday,p-5-1,45.76627,21.1981,40,40,1,0,free
afternoon-rush,p-5-1,45.76627,21.1981,40,40,1,0,free
evening,p-5-1,45.76627,21.1981,40,40,1,0,free
night,p-5-1,45.76627,21.1981,40,40,1,0,free
morning-rush,p-5-1,45.76601,21.19929,40,40,1,0,free
mid-morning,p-5-1,45.76601,21.19929,40,40,1,0,free
midday,p-5-1,45.76601,21.19929,40,40,1,0,free
afternoon-rush,p-5-1,45.76601,21.19929,40,40,1,0,free
evening,p-5-1,45.76601,21.19929,40,40,1,0,free
night,p-5-1,45.76601,21.19929,40,40,1,0,free
morning-rush,p-5-1,45.76578,21.20037,40,40,1,0,free
mid-morning,p-5-1,45.76578,21.20037,40,40,1,0,free
midday,p-5-1,45.76578,21.20037,40,40,1,0,free
afternoon-rush,p-5-1,45.76578,21.20037,40,40,1,0,free
evening,p-5-1,45.76578,21.20037,40,40,1,0,free
night,p-5-1,45.76578,21.20037,40,40,1,0,free
morning-rush,p-5-1,45.76575,21.20052,40,40,1,0,free
mid-morning,p-5-1,45.76575,21.20052,40,40,1,0,free
midday,p-5-1,45.76575,21.20052,40,40,1,0,free
afternoon-rush,p-5-1,45.76575,21.20052,40,40,1,0,free
evening,p-5-1,45.76575,21.20052,40,40,1,0,free
night,p-5-1,45.76575,21.20052,40,40,1,0,free
morning-rush,p-5-1,45.76521,21.20255,40,40,1,0,free
mid-morning,p-5-1,45.76521,21.20255,40,40,1,0,free
midday,p-5-1,45.76521,21.20255,40,40,1,0,free
afternoon-rush,p-5-1,45.76521,21.20255,40,40,1,0,free
evening,p-5-1,45.76521,21.20255,40,40,1,0,free
night,p-5-1,45.76521,21.20255,40,40,1,0,free
morning-rush,p-5-2,45.76451,21.20519,34,34,1,0,free
mid-morning,p-5-2,45.76451,21.20519,34,34,1,0,free
midday,p-5-2,45.76451,21.20519,34,34,1,0,free
afternoon-rush,p-5-2,45.76451,21.20519,34,34,1,0,free
evening,p-5-2,45.76451,21.20519,34,34,1,0,free
night,p-5-2,45.76451,21.20519,34,34,1,0,free
morning-rush,p-5-2,45.76439,21.20569,34,34,1,0,free
mid-morning,p-5-2,45.76439,21.20569,34,34,1,0,free
midday,p-5-2,45.76439,21.20569,34,34,1,0,free
afternoon-rush,p-5-2,45.76439,21.20569,34,34,1,0,free
evening,p-5-2,45.76439,21.20569,34,34,1,0,free
night,p-5-2,45.76439,21.20569,34,34,1,0,free
morning-rush,p-5-2,45.76435,21.20581,34,34,1,0,free
mid-morning,p-5-2,45.76435,21.20581,34,34,1,0,free
midday,p-5-2,45.76435,21.20581,34,34,1,0,free
afternoon-rush,p-5-2,45.76435,21.20581,34,34,1,0,free
evening,p-5-2,45.76435,21.20581,34,34,1,0,free
night,p-5-2,45.76435,21.20581,34,34,1,0,free
morning-rush,p-5-2,45.76417,21.20651,34,34,1,0,free
mid-morning,p-5-2,45.76417,21.20651,34,34,1,0,free
midday,p-5-2,45.76417,21.20651,34,34,1,0,free
afternoon-rush,p-5-2,45.76417,21.20651,34,34,1,0,free
evening,p-5-2,45.76417,21.20651,34,34,1,0,free
night,p-5-2,45.76417,21.20651,34,34,1,0,free
morning-rush,p-5-2,45.76412,21.20667,34,34,1,0,free
mid-morning,p-5-2,45.76412,21.20667,34,34,1,0,free
midday,p-5-2,45.76412,21.20667,34,34,1,0,free
afternoon-rush,p-5-2,45.76412,21.20667,34,34,1,0,free
evening,p-5-2,45.76412,21.20667,34,34,1,0,free
night,p-5-2,45.76412,21.20667,34,34,1,0,free
morning-rush,p-5-2,45.76384,21.20772,34,34,1,0,free
mid-morning,p-5-2,45.76384,21.20772,34,34,1,0,free
midday,p-5-2,45.76384,21.20772,34,34,1,0,free
afternoon-rush,p-5-2,45.76384,21.20772,34,34,1,0,free
evening,p-5-2,45.76384,21.20772,34,34,1,0,free
night,p-5-2,45.76384,21.20772,34,34,1,0,free
morning-rush,p-5-2,45.76378,21.20791,34,34,1,0,free
mid-morning,p-5-2,45.76378,21.20791,34,34,1,0,free
midday,p-5-2,45.76378,21.20791,34,34,1,0,free
afternoon-rush,p-5-2,45.76378,21.20791,34,34,1,0,free
evening,p-5-2,45.76378,21.20791,34,34,1,0,free
night,p-5-2,45.76378,21.20791,34,34,1,0,free
morning-rush,p-5-3,45.76101,21.21609,50,50,1,0,free
mid-morning,p-5-3,45.76101,21.21609,50,50,1,0,free
midday,p-5-3,45.76101,21.21609,50,50,1,0,free
afternoon-rush,p-5-3,45.76101,21.21609,50,50,1,0,free
evening,p-5-3,45.76101,21.21609,50,50,1,0,free
night,p-5-3,45.76101,21.21609,50,50,1,0,free
morning-rush,p-5-3,45.76142,21.21504,50,50,1,0,free
mid-morning,p-5-3,45.76142,21.21504,50,50,1,0,free
midday,p-5-3,45.76142,21.21504,50,50,1,0,free
afternoon-rush,p-5-3,45.76142,21.21504,50,50,1,0,free
evening,p-5-3,45.76142,21.21504,50,50,1,0,free
night,p-5-3,45.76142,21.21504,50,50,1,0,free
morning-rush,p-5-3,45.76171,21.2143,50,50,1,0,free
mid-morning,p-5-3,45.76171,21.2143,50,50,1,0,free
midday,p-5-3,45.76171,21.2143,50,50,1,0,free
afternoon-rush,p-5-3,45.76171,21.2143,50,50,1,0,free
evening,p-5-3,45.76171,21.2143,50,50,1,0,free
night,p-5-3,45.76171,21.2143,50,50,1,0,free
morning-rush,p-5-3,45.76196,21.21361,50,50,1,0,free
mid-morning,p-5-3,45.76196,21.21361,50,50,1,0,free
midday,p-5-3,45.76196,21.21361,50,50,1,0,free
afternoon-rush,p-5-3,45.76196,21.21361,50,50,1,0,free
evening,p-5-3,45.76196,21.21361,50,50,1,0,free
night,p-5-3,45.76196,21.21361,50,50,1,0,free
morning-rush,p-5-4,45.76289,21.22071,46,46,1,0,free
mid-morning,p-5-4,45.76289,21.22071,46,46,1,0,free
midday,p-5-4,45.76289,21.22071,46,46,1,0,free
afternoon-rush,p-5-4,45.76289,21.22071,46,46,1,0,free
evening,p-5-4,45.76289,21.22071,46,46,1,0,free
night,p-5-4,45.76289,21.22071,46,46,1,0,free
morning-rush,p-5-4,45.76295,21.22081,46,46,1,0,free
mid-morning,p-5-4,45.76295,21.22081,46,46,1,0,free
midday,p-5-4,45.76295,21.22081,46,46,1,0,free
afternoon-rush,p-5-4,45.76295,21.22081,46,46,1,0,free
evening,p-5-4,45.76295,21.22081,46,46,1,0,free
night,p-5-4,45.76295,21.22081,46,46,1,0,free
morning-rush,p-5-4,45.76308,21.22101,46,46,1,0,free
mid-morning,p-5-4,45.76308,21.22101,46,46,1,0,free
midday,p-5-4,45.76308,21.22101,46,46,1,0,free
afternoon-rush,p-5-4,45.76308,21.22101,46,46,1,0,free
evening,p-5-4,45.76308,21.22101,46,46,1,0,free
night,p-5-4,45.76308,21.22101,46,46,1,0,free
morning-rush,p-5-4,45.7633,21.22142,46,46,1,0,free
mid-morning,p-5-4,45.7633,21.22142,46,46,1,0,free
midday,p-5-4,45.7633,21.22142,46,46,1,0,free
afternoon-rush,p-5-4,45.7633,21.22142,46,46,1,0,free
evening,p-5-4,45.7633,21.22142,46,46,1,0,free
night,p-5-4,45.7633,21.22142,46,46,1,0,free
morning-rush,p-5-4,45.76343,21.22165,46,46,1,0,free
mid-morning,p-5-4,45.76343,21.22165,46,46,1,0,free
midday,p-5-4,45.76343,21.22165,46,46,1,0,free
afternoon-rush,p-5-4,45.76343,21.22165,46,46,1,0,free
evening,p-5-4,45.76343,21.22165,46,46,1,0,free
night,p-5-4,45.76343,21.22165,46,46,1,0,free
morning-rush,p-5-4,45.7635,21.22182,46,46,1,0,free
mid-morning,p-5-4,45.7635,21.22182,46,46,1,0,free
midday,p-5-4,45.7635,21.22182,46,46,1,0,free
afternoon-rush,p-5-4,45.7635,21.22182,46,46,1,0,free
evening,p-5-4,45.7635,21.22182,46,46,1,0,free
night,p-5-4,45.7635,21.22182,46,46,1,0,free
morning-rush,p-5-4,45.76355,21.22194,46,46,1,0,free
mid-morning,p-5-4,45.76355,21.22194,46,46,1,0,free
midday,p-5-4,45.76355,21.22194,46,46,1,0,free
afternoon-rush,p-5-4,45.76355,21.22194,46,46,1,0,free
evening,p-5-4,45.76355,21.22194,46,46,1,0,free
night,p-5-4,45.76355,21.22194,46,46,1,0,free
morning-rush,p-5-4,45.7636,21.22207,46,46,1,0,free
mid-morning,p-5-4,45.7636,21.22207,46,46,1,0,free
midday,p-5-4,45.7636,21.22207,46,46,1,0,free
afternoon-rush,p-5-4,45.7636,21.22207,46,46,1,0,free
evening,p-5-4,45.7636,21.22207,46,46,1,0,free
night,p-5-4,45.7636,21.22207,46,46,1,0,free
morning-rush,p-5-4,45.76367,21.22226,46,46,1,0,free
mid-morning,p-5-4,45.76367,21.22226,46,46,1,0,free
midday,p-5-4,45.76367,21.22226,46,46,1,0,free
afternoon-rush,p-5-4,45.76367,21.22226,46,46,1,0,free
evening,p-5-4,45.76367,21.22226,46,46,1,0,free
night,p-5-4,45.76367,21.22226,46,46,1,0,free
morning-rush,p-5-4,45.76373,21.22242,46,46,1,0,free
mid-morning,p-5-4,45.76373,21.22242,46,46,1,0,free
midday,p-5-4,45.76373,21.22242,46,46,1,0,free
afternoon-rush,p-5-4,45.76373,21.22242,46,46,1,0,free
evening,p-5-4,45.76373,21.22242,46,46,1,0,free
night,p-5-4,45.76373,21.22242,46,46,1,0,free
morning-rush,p-5-4,45.76377,21.2226,46,46,1,0,free
mid-morning,p-5-4,45.76377,21.2226,46,46,1,0,free
midday,p-5-4,45.76377,21.2226,46,46,1,0,free
afternoon-rush,p-5-4,45.76377,21.2226,46,46,1,0,free
evening,p-5-4,45.76377,21.2226,46,46,1,0,free
night,p-5-4,45.76377,21.2226,46,46,1,0,free
morning-rush,p-5-4,45.76382,21.22277,46,46,1,0,free
mid-morning,p-5-4,45.76382,21.22277,46,46,1,0,free
midday,p-5-4,45.76382,21.22277,46,46,1,0,free
afternoon-rush,p-5-4,45.76382,21.22277,46,46,1,0,free
evening,p-5-4,45.76382,21.22277,46,46,1,0,free
night,p-5-4,45.76382,21.22277,46,46,1,0,free
morning-rush,p-5-4,45.76388,21.22304,46,46,1,0,free
mid-morning,p-5-4,45.76388,21.22304,46,46,1,0,free
midday,p-5-4,45.76388,21.22304,46,46,1,0,free
afternoon-rush,p-5-4,45.76388,21.22304,46,46,1,0,free
evening,p-5-4,45.76388,21.22304,46,46,1,0,free
night,p-5-4,45.76388,21.22304,46,46,1,0,free
morning-rush,p-5-4,45.76393,21.22325,46,46,1,0,free
mid-morning,p-5-4,45.76393,21.22325,46,46,1,0,free
midday,p-5-4,45.76393,21.22325,46,46,1,0,free
afternoon-rush,p-5-4,45.76393,21.22325,46,46,1,0,free
evening,p-5-4,45.76393,21.22325,46,46,1,0,free
night,p-5-4,45.76393,21.22325,46,46,1,0,free
morning-rush,p-5-4,45.76398,21.22353,46,46,1,0,free
mid-morning,p-5-4,45.76398,21.22353,46,46,1,0,free
midday,p-5-4,45.76398,21.22353,46,46,1,0,free
afternoon-rush,p-5-4,45.76398,21.22353,46,46,1,0,free
evening,p-5-4,45.76398,21.22353,46,46,1,0,free
night,p-5-4,45.76398,21.22353,46,46,1,0,free
morning-rush,p-5-4,45.76402,21.22374,46,46,1,0,free
mid-morning,p-5-4,45.76402,21.22374,46,46,1,0,free
midday,p-5-4,45.76402,21.22374,46,46,1,0,free
afternoon-rush,p-5-4,45.76402,21.22374,46,46,1,0,free
evening,p-5-4,45.76402,21.22374,46,46,1,0,free
night,p-5-4,45.76402,21.22374,46,46,1,0,free
morning-rush,p-5-4,45.7641,21.22409,46,46,1,0,free
mid-morning,p-5-4,45.7641,21.22409,46,46,1,0,free
midday,p-5-4,45.7641,21.22409,46,46,1,0,free
afternoon-rush,p-5-4,45.7641,21.22409,46,46,1,0,free
evening,p-5-4,45.7641,21.22409,46,46,1,0,free
night,p-5-4,45.7641,21.22409,46,46,1,0,free
morning-rush,p-5-5,45.76781,21.22969,32,32,1,0,free
mid-morning,p-5-5,45.76781,21.22969,32,32,1,0,free
midday,p-5-5,45.76781,21.22969,32,32,1,0,free
afternoon-rush,p-5-5,45.76781,21.22969,32,32,1,0,free
evening,p-5-5,45.76781,21.22969,32,32,1,0,free
night,p-5-5,45.76781,21.22969,32,32,1,0,free
morning-rush,p-5-5,45.76769,21.22979,32,32,1,0,free
mid-morning,p-5-5,45.76769,21.22979,32,32,1,0,free
midday,p-5-5,45.76769,21.22979,32,32,1,0,free
afternoon-rush,p-5-5,45.76769,21.22979,32,32,1,0,free
evening,p-5-5,45.76769,21.22979,32,32,1,0,free
night,p-5-5,45.76769,21.22979,32,32,1,0,free
morning-rush,p-5-5,45.767,21.23037,32,32,1,0,free
mid-morning,p-5-5,45.767,21.23037,32,32,1,0,free
midday,p-5-5,45.767,21.23037,32,32,1,0,free
afternoon-rush,p-5-5,45.767,21.23037,32,32,1,0,free
evening,p-5-5,45.767,21.23037,32,32,1,0,free
night,p-5-5,45.767,21.23037,32,32,1,0,free
morning-rush,p-5-5,45.76684,21.23049,32,32,1,0,free
mid-morning,p-5-5,45.76684,21.23049,32,32,1,0,free
midday,p-5-5,45.76684,21.23049,32,32,1,0,free
afternoon-rush,p-5-5,45.76684,21.23049,32,32,1,0,free
evening,p-5-5,45.76684,21.23049,32,32,1,0,free
night,p-5-5,45.76684,21.23049,32,32,1,0,free
morning-rush,p-5-5,45.76679,21.23052,32,32,1,0,free
mid-morning,p-5-5,45.76679,21.23052,32,32,1,0,free
midday,p-5-5,45.76679,21.23052,32,32,1,0,free
afternoon-rush,p-5-5,45.76679,21.23052,32,32,1,0,free
evening,p-5-5,45.76679,21.23052,32,32,1,0,free
night,p-5-5,45.76679,21.23052,32,32,1,0,free
morning-rush,p-5-5,45.76667,21.2306,32,32,1,0,free
mid-morning,p-5-5,45.76667,21.2306,32,32,1,0,free
midday,p-5-5,45.76667,21.2306,32,32,1,0,free
afternoon-rush,p-5-5,45.76667,21.2306,32,32,1,0,free
evening,p-5-5,45.76667,21.2306,32,32,1,0,free
night,p-5-5,45.76667,21.2306,32,32,1,0,free
morning-rush,p-5-5,45.76665,21.23061,32,32,1,0,free
mid-morning,p-5-5,45.76665,21.23061,32,32,1,0,free
midday,p-5-5,45.76665,21.23061,32,32,1,0,free
afternoon-rush,p-5-5,45.76665,21.23061,32,32,1,0,free
evening,p-5-5,45.76665,21.23061,32,32,1,0,free
night,p-5-5,45.76665,21.23061,32,32,1,0,free
morning-rush,p-5-5,45.76661,21.23064,32,32,1,0,free
mid-morning,p-5-5,45.76661,21.23064,32,32,1,0,free
midday,p-5-5,45.76661,21.23064,32,32,1,0,free
afternoon-rush,p-5-5,45.76661,21.23064,32,32,1,0,free
evening,p-5-5,45.76661,21.23064,32,32,1,0,free
night,p-5-5,45.76661,21.23064,32,32,1,0,free
morning-rush,p-5-5,45.76648,21.2307,32,32,1,0,free
mid-morning,p-5-5,45.76648,21.2307,32,32,1,0,free
midday,p-5-5,45.76648,21.2307,32,32,1,0,free
afternoon-rush,p-5-5,45.76648,21.2307,32,32,1,0,free
evening,p-5-5,45.76648,21.2307,32,32,1,0,free
night,p-5-5,45.76648,21.2307,32,32,1,0,free
morning-rush,p-5-5,45.76625,21.23072,32,32,1,0,free
mid-morning,p-5-5,45.76625,21.23072,32,32,1,0,free
midday,p-5-5,45.76625,21.23072,32,32,1,0,free
afternoon-rush,p-5-5,45.76625,21.23072,32,32,1,0,free
evening,p-5-5,45.76625,21.23072,32,32,1,0,free
night,p-5-5,45.76625,21.23072,32,32,1,0,free
morning-rush,p-5-5,45.76606,21.23072,32,32,1,0,free
mid-morning,p-5-5,45.76606,21.23072,32,32,1,0,free
midday,p-5-5,45.76606,21.23072,32,32,1,0,free
afternoon-rush,p-5-5,45.76606,21.23072,32,32,1,0,free
evening,p-5-5,45.76606,21.23072,32,32,1,0,free
night,p-5-5,45.76606,21.23072,32,32,1,0,free
morning-rush,p-5-5,45.76605,21.23071,32,32,1,0,free
mid-morning,p-5-5,45.76605,21.23071,32,32,1,0,free
midday,p-5-5,45.76605,21.23071,32,32,1,0,free
afternoon-rush,p-5-5,45.76605,21.23071,32,32,1,0,free
evening,p-5-5,45.76605,21.23071,32,32,1,0,free
night,p-5-5,45.76605,21.23071,32,32,1,0,free
morning-rush,p-5-5,45.76596,21.23074,32,32,1,0,free
mid-morning,p-5-5,45.76596,21.23074,32,32,1,0,free
midday,p-5-5,45.76596,21.23074,32,32,1,0,free
afternoon-rush,p-5-5,45.76596,21.23074,32,32,1,0,free
evening,p-5-5,45.76596,21.23074,32,32,1,0,free
night,p-5-5,45.76596,21.23074,32,32,1,0,free
morning-rush,p-5-5,45.76589,21.23079,32,32,1,0,free
mid-morning,p-5-5,45.76589,21.23079,32,32,1,0,free
midday,p-5-5,45.76589,21.23079,32,32,1,0,free
afternoon-rush,p-5-5,45.76589,21.23079,32,32,1,0,free
evening,p-5-5,45.76589,21.23079,32,32,1,0,free
night,p-5-5,45.76589,21.23079,32,32,1,0,free
morning-rush,p-5-5,45.76583,21.23082,32,32,1,0,free
mid-morning,p-5-5,45.76583,21.23082,32,32,1,0,free
midday,p-5-5,45.76583,21.23082,32,32,1,0,free
afternoon-rush,p-5-5,45.76583,21.23082,32,32,1,0,free
evening,p-5-5,45.76583,21.23082,32,32,1,0,free
night,p-5-5,45.76583,21.23082,32,32,1,0,free
morning-rush,p-5-5,45.76567,21.23105,32,32,1,0,free
mid-morning,p-5-5,45.76567,21.23105,32,32,1,0,free
midday,p-5-5,45.76567,21.23105,32,32,1,0,free
afternoon-rush,p-5-5,45.76567,21.23105,32,32,1,0,free
evening,p-5-5,45.76567,21.23105,32,32,1,0,free
night,p-5-5,45.76567,21.23105,32,32,1,0,free
morning-rush,p-5-5,45.76559,21.23115,32,32,1,0,free
mid-morning,p-5-5,45.76559,21.23115,32,32,1,0,free
midday,p-5-5,45.76559,21.23115,32,32,1,0,free
afternoon-rush,p-5-5,45.76559,21.23115,32,32,1,0,free
evening,p-5-5,45.76559,21.23115,32,32,1,0,free
night,p-5-5,45.76559,21.23115,32,32,1,0,free
morning-rush,p-5-5,45.76546,21.23129,32,32,1,0,free
mid-morning,p-5-5,45.76546,21.23129,32,32,1,0,free
midday,p-5-5,45.76546,21.23129,32,32,1,0,free
afternoon-rush,p-5-5,45.76546,21.23129,32,32,1,0,free
evening,p-5-5,45.76546,21.23129,32,32,1,0,free
night,p-5-5,45.76546,21.23129,32,32,1,0,free
morning-rush,p-5-5,45.76529,21.2315,32,32,1,0,free
mid-morning,p-5-5,45.76529,21.2315,32,32,1,0,free
midday,p-5-5,45.76529,21.2315,32,32,1,0,free
afternoon-rush,p-5-5,45.76529,21.2315,32,32,1,0,free
evening,p-5-5,45.76529,21.2315,32,32,1,0,free
night,p-5-5,45.76529,21.2315,32,32,1,0,free
morning-rush,p-5-5,45.76496,21.23177,32,32,1,0,free
mid-morning,p-5-5,45.76496,21.23177,32,32,1,0,free
midday,p-5-5,45.76496,21.23177,32,32,1,0,free
afternoon-rush,p-5-5,45.76496,21.23177,32,32,1,0,free
evening,p-5-5,45.76496,21.23177,32,32,1,0,free
night,p-5-5,45.76496,21.23177,32,32,1,0,free
morning-rush,p-5-5,45.76493,21.23174,32,32,1,0,free
mid-morning,p-5-5,45.76493,21.23174,32,32,1,0,free
midday,p-5-5,45.76493,21.23174,32,32,1,0,free
afternoon-rush,p-5-5,45.76493,21.23174,32,32,1,0,free
evening,p-5-5,45.76493,21.23174,32,32,1,0,free
night,p-5-5,45.76493,21.23174,32,32,1,0,free
morning-rush,p-5-5,45.7649,21.23171,32,32,1,0,free
mid-morning,p-5-5,45.7649,21.23171,32,32,1,0,free
midday,p-5-5,45.7649,21.23171,32,32,1,0,free
afternoon-rush,p-5-5,45.7649,21.23171,32,32,1,0,free
evening,p-5-5,45.7649,21.23171,32,32,1,0,free
night,p-5-5,45.7649,21.23171,32,32,1,0,free
morning-rush,p-5-5,45.76486,21.23169,32,32,1,0,free
mid-morning,p-5-5,45.76486,21.23169,32,32,1,0,free
midday,p-5-5,45.76486,21.23169,32,32,1,0,free
afternoon-rush,p-5-5,45.76486,21.23169,32,32,1,0,free
evening,p-5-5,45.76486,21.23169,32,32,1,0,free
night,p-5-5,45.76486,21.23169,32,32,1,0,free
morning-rush,p-5-5,45.76482,21.23169,32,32,1,0,free
mid-morning,p-5-5,45.76482,21.23169,32,32,1,0,free
midday,p-5-5,45.76482,21.23169,32,32,1,0,free
afternoon-rush,p-5-5,45.76482,21.23169,32,32,1,0,free
evening,p-5-5,45.76482,21.23169,32,32,1,0,free
night,p-5-5,45.76482,21.23169,32,32,1,0,free
morning-rush,p-5-5,45.76478,21.23169,32,32,1,0,free
mid-morning,p-5-5,45.76478,21.23169,32,32,1,0,free
midday,p-5-5,45.76478,21.23169,32,32,1,0,free
afternoon-rush,p-5-5,45.76478,21.23169,32,32,1,0,free
evening,p-5-5,45.76478,21.23169,32,32,1,0,free
night,p-5-5,45.76478,21.23169,32,32,1,0,free
morning-rush,p-5-5,45.76475,21.23171,32,32,1,0,free
mid-morning,p-5-5,45.76475,21.23171,32,32,1,0,free
midday,p-5-5,45.76475,21.23171,32,32,1,0,free
afternoon-rush,p-5-5,45.76475,21.23171,32,32,1,0,free
evening,p-5-5,45.76475,21.23171,32,32,1,0,free
night,p-5-5,45.76475,21.23171,32,32,1,0,free
morning-rush,p-5-5,45.76471,21.23174,32,32,1,0,free
mid-morning,p-5-5,45.76471,21.23174,32,32,1,0,free
midday,p-5-5,45.76471,21.23174,32,32,1,0,free
afternoon-rush,p-5-5,45.76471,21.23174,32,32,1,0,free
evening,p-5-5,45.76471,21.23174,32,32,1,0,free
night,p-5-5,45.76471,21.23174,32,32,1,0,free
morning-rush,p-5-5,45.76468,21.23177,32,32,1,0,free
mid-morning,p-5-5,45.76468,21.23177,32,32,1,0,free
midday,p-5-5,45.76468,21.23177,32,32,1,0,free
afternoon-rush,p-5-5,45.76468,21.23177,32,32,1,0,free
evening,p-5-5,45.76468,21.23177,32,32,1,0,free
night,p-5-5,45.76468,21.23177,32,32,1,0,free
morning-rush,p-5-5,45.76466,21.23181,32,32,1,0,free
mid-morning,p-5-5,45.76466,21.23181,32,32,1,0,free
midday,p-5-5,45.76466,21.23181,32,32,1,0,free
afternoon-rush,p-5-5,45.76466,21.23181,32,32,1,0,free
evening,p-5-5,45.76466,21.23181,32,32,1,0,free
night,p-5-5,45.76466,21.23181,32,32,1,0,free
morning-rush,p-5-5,45.76464,21.23186,32,32,1,0,free
mid-morning,p-5-5,45.76464,21.23186,32,32,1,0,free
midday,p-5-5,45.76464,21.23186,32,32,1,0,free
afternoon-rush,p-5-5,45.76464,21.23186,32,32,1,0,free
evening,p-5-5,45.76464,21.23186,32,32,1,0,free
night,p-5-5,45.76464,21.23186,32,32,1,0,free
morning-rush,p-5-5,45.76463,21.23192,32,32,1,0,free
mid-morning,p-5-5,45.76463,21.23192,32,32,1,0,free
midday,p-5-5,45.76463,21.23192,32,32,1,0,free
afternoon-rush,p-5-5,45.76463,21.23192,32,32,1,0,free
evening,p-5-5,45.76463,21.23192,32,32,1,0,free
night,p-5-5,45.76463,21.23192,32,32,1,0,free
morning-rush,p-5-5,45.76462,21.23197,32,32,1,0,free
mid-morning,p-5-5,45.76462,21.23197,32,32,1,0,free
midday,p-5-5,45.76462,21.23197,32,32,1,0,free
afternoon-rush,p-5-5,45.76462,21.23197,32,32,1,0,free
evening,p-5-5,45.76462,21.23197,32,32,1,0,free
night,p-5-5,45.76462,21.23197,32,32,1,0,free
morning-rush,p-5-5,45.76463,21.23203,32,32,1,0,free
mid-morning,p-5-5,45.76463,21.23203,32,32,1,0,free
midday,p-5-5,45.76463,21.23203,32,32,1,0,free
afternoon-rush,p-5-5,45.76463,21.23203,32,32,1,0,free
evening,p-5-5,45.76463,21.23203,32,32,1,0,free
night,p-5-5,45.76463,21.23203,32,32,1,0,free
morning-rush,p-5-5,45.76464,21.23208,32,32,1,0,free
mid-morning,p-5-5,45.76464,21.23208,32,32,1,0,free
midday,p-5-5,45.76464,21.23208,32,32,1,0,free
afternoon-rush,p-5-5,45.76464,21.23208,32,32,1,0,free
evening,p-5-5,45.76464,21.23208,32,32,1,0,free
night,p-5-5,45.76464,21.23208,32,32,1,0,free
morning-rush,p-5-5,45.76451,21.23234,32,32,1,0,free
mid-morning,p-5-5,45.76451,21.23234,32,32,1,0,free
midday,p-5-5,45.76451,21.23234,32,32,1,0,free
afternoon-rush,p-5-5,45.76451,21.23234,32,32,1,0,free
evening,p-5-5,45.76451,21.23234,32,32,1,0,free
night,p-5-5,45.76451,21.23234,32,32,1,0,free
morning-rush,p-5-5,45.76449,21.2324,32,32,1,0,free
mid-morning,p-5-5,45.76449,21.2324,32,32,1,0,free
midday,p-5-5,45.76449,21.2324,32,32,1,0,free
afternoon-rush,p-5-5,45.76449,21.2324,32,32,1,0,free
evening,p-5-5,45.76449,21.2324,32,32,1,0,free
night,p-5-5,45.76449,21.2324,32,32,1,0,free
morning-rush,p-5-5,45.76439,21.23248,32,32,1,0,free
mid-morning,p-5-5,45.76439,21.23248,32,32,1,0,free
midday,p-5-5,45.76439,21.23248,32,32,1,0,free
afternoon-rush,p-5-5,45.76439,21.23248,32,32,1,0,free
evening,p-5-5,45.76439,21.23248,32,32,1,0,free
night,p-5-5,45.76439,21.23248,32,32,1,0,free
morning-rush,p-5-5,45.76408,21.23272,32,32,1,0,free
mid-morning,p-5-5,45.76408,21.23272,32,32,1,0,free
